,Name,Remote Name,Formula,Comment
0,[Data_Fim_P2],[Data_Ini_P1 (cópia) (cópia) (cópia)_970807216953430022 2],#2021-08-01# ,
1,[Data_Ini_P2],[Data_Ini_P1 (cópia) (cópia)_970807216953421829 1],#2020-09-01# ,
2,[Data_Fim_P1],[Data_Ini_P1 (cópia)_970807216953409540],#2022-08-01# ,
3,[Ordenacao Ranking Especialidades],[Ordenacao Ranking Prestadores (copy)_864128214582870017],2 ,
4,[PARAM_REGRA_CORES_SUPERIOR_BN],[PARAM_REGRA_CORES_INFERIOR (copy)_292734014325870595],0.4 ,
5,[PARAM_REGRA_CORES_INFERIOR_VAR],[PARAM_REGRA_CORES_INFERIOR_BN (copy)_502714352514838543],-0.004 ,
6,[PARAM_REGRA_CORES_SUPERIOR_VAR],[PARAM_REGRA_CORES_SUPERIOR_BN (copy)_502714352514838542],0.004 ,
7,[Ordenacao Ranking Prestadores],[Parameter 1],2 ,
8,[PARAM_REGRA_CORES_INFERIOR_BN],[Parameter 2],-0.4 ,
9,[Data_Ini_P1],[Parâmetro 2 2],#2021-09-01# ,
10,[lista_ranking_especialidade],[lista_indicadores_hist (cópia)_637540871064674579],"""SINISTRO TOTAL DE INTERNACOES"" ",
11,[lista_indicadores_hist],[lista_indicadores_tops (cópia)_1697294133647798287],"""SINISTRO TOTAL DE INTERNACOES"" ",
12,[lista_ranking_prestadores],[lista_ranking_especialidade (cópia)_637540871064785172],"""QUANTIDADE TOTAL DE INTERNACOES DE PARTO"" ",
13,[CUSTO_MEDIO_HM_P1],[CUSTO_MEDIO_P1 (cópia)_637540867861917715],SUM([SINISTRO_HM_P1]) / SUM([QTD_INTERNACAO_P1]) ,
14,[CUSTO_MEDIO_HM_P2],[CUSTO_MEDIO_P2 (cópia)_637540867861917711],SUM([SINISTRO_P2]) / SUM([QTD_INTERNACAO_P2]) ,
15,[FILTRO_TIMELINE],[Calculation_125537873217466370],IF [FILTRO_P1] THEN 'P1' ELSEIF [FILTRO_P2] THEN 'P2' ELSE 'OUT' END ,
